Median House Prices 3rd Quarter 2020,,,,,,,,Change %,Change %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBURB,Jul - Sep 19,Oct - Dec 19,Jan - Mar 20,Apr- Jun 20,Jul - Sep 20,No of sales ,No of Sales ,Jul - Sep 19,Apr - Jun 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jul - Sep 20,YTD,Jul - Sep 20,Jul - Sep 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBOTSFORD,1160000,1027500,1230000,1080000,1260000,8,33,8.6,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABERFELDIE,1352500,1650000,1732500,1375000,1600000,6,25,18.3,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AINTREE,575000,620400,675000,685000,740000,8,52,28.7,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIREYS INLET,700000,1400000,1050000,1010000,1300000,7,19,85.7,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRPORT WEST,810500,851000,832500,798500,775000,15,69,-4.4,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBANVALE,500000,517000,551500,505000,505000,11,34,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBERT PARK,2465000,2220000,2040000,1777500,1738800,8,57,-29.5,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBION,600000,737500,765000,571000,755000,3,12,25.8,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDRA,285000,325000,388500,395000,340000,13,42,19.3,-13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALFREDTON,498000,485100,500000,500000,510000,67,162,2.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPHINGTON,1700000,1717500,1435500,1930000,1865000,5,19,9.7,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTONA,887500,941000,1010000,925000,820000,24,77,-7.6,-11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTONA EAST,900000,855000,802500,892000,805000,4,19,-10.6,-9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTONA MEADOWS,625000,612500,650000,600000,625000,13,51,0.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTONA NORTH,742500,801000,835000,812500,910000,17,79,22.6,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGLESEA,1000000,1115000,965000,863000,1035000,26,66,3.5,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLLO BAY,600000,545000,730000,590000,640000,7,23,6.7,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARARAT,219000,227500,234000,240000,280300,44,127,28.0,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARDEER,575000,572000,600000,575000,630000,3,14,9.6,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMADALE,2610000,2825000,2320000,2500000,2054000,11,45,-21.3,-17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMSTRONG CREEK,540000,527500,531000,550000,572500,65,156,6.0,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCOT (GREATER BENDIGO),425400,415000,453800,442500,480000,3,27,12.8,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCOT VALE,978800,1030000,1205000,1280000,1328800,18,94,35.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHBURTON,1760000,1722500,1530000,1528000,1666800,11,48,-5.3,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHWOOD,1210000,1219400,1156500,1235000,1210500,6,28,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASPENDALE,1032500,963000,1187500,1031500,1115000,20,56,8.0,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASPENDALE GARDENS,836000,881500,925000,985000,1002500,2,20,19.9,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATTWOOD,716000,632000,680000,813800,714000,2,15,-0.3,-12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVENEL,351000,370000,445000,535000,550000,3,9,56.7,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVOCA,160000,230000,265000,225000,235000,2,15,46.9,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVONDALE HEIGHTS,800000,856000,843800,791000,795000,15,66,-0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
