SUBURB,Jul - Sep 19,Oct - Dec 19,Jan - Mar 20,Apr- Jun 20,Jul - Sep 20,No of sales Jul - Sep 20,No of Sales YTD,Change % previous year,Change % previous quarter
CLAYTON SOUTH,832000,880000,800000,830000,830000,5,23,-0.2,0.0
DANDENONG,600000,623500,630000,616000,599000,25,101,-0.2,-2.8
MERNDA,555000,560000,553000,560000,553800,54,190,-0.2,-1.1
WARBURTON,495000,500000,552500,530000,494000,3,17,-0.2,-6.8
ATTWOOD,716000,632000,680000,813800,714000,2,15,-0.3,-12.3
SYNDAL,1605000,1579500,1570000,1652000,1600000,12,34,-0.3,-3.1
FAWKNER,690000,702000,708300,710000,687000,20,81,-0.4,-3.2
SOMERVILLE,612500,600000,606000,637000,610000,32,98,-0.4,-4.2
STRATFORD,336500,302500,318500,315000,335000,20,43,-0.4,6.3
BANNOCKBURN,555000,547500,567500,555000,552500,26,68,-0.5,-0.5
CHELTENHAM EAST,935000,955500,1038000,917500,930000,11,28,-0.5,1.4
EAGLEMONT,1799000,1630000,1875000,2029000,1790000,4,27,-0.5,-11.8
LEOPOLD,520000,520000,535000,523800,517500,68,177,-0.5,-1.2
AVONDALE HEIGHTS,800000,856000,843800,791000,795000,15,66,-0.6,0.5
DIAMOND CREEK,775000,741800,762200,749000,770000,18,79,-0.6,2.8
WARRANWOOD,997000,893300,940000,865000,991000,9,25,-0.6,14.6
CALIFORNIA GULLY,312500,290800,318000,300000,310000,23,63,-0.8,3.3
CRANBOURNE,508800,501000,518800,492500,504900,50,174,-0.8,2.5
ECHUCA,386300,370000,382000,427500,382500,62,143,-1.0,-10.5
BRAYBROOK,649000,669000,705000,671500,642000,25,79,-1.1,-4.4
SPOTSWOOD,912500,1020000,1135000,906000,902500,4,19,-1.1,-0.4
TOORADIN,785000,745000,665000,760000,776300,2,14,-1.1,2.1
KEYSBOROUGH,770000,747500,773500,720000,760000,41,165,-1.3,5.6
MCKENZIE HILL,567500,520000,537500,584000,560000,4,15,-1.3,-4.1
WERRIBEE,525000,510000,515000,510000,518000,82,354,-1.3,1.6
BERWICK,692500,675000,715500,680000,682500,100,360,-1.4,0.4
KEILOR PARK,735000,750000,737500,689000,725000,3,19,-1.4,5.2
VERMONT,989500,1016500,1122500,1068000,975000,21,60,-1.5,-8.7
CROYDON NORTH,815500,864000,902500,850000,802500,12,44,-1.6,-5.6
GLADSTONE PARK,642000,650000,650000,610000,632000,11,55,-1.6,3.6
BONBEACH,900000,908000,965000,900000,885000,11,44,-1.7,-1.7
HEIDELBERG WEST,670000,662300,795000,681000,658500,4,28,-1.7,-3.3
TONGALA,229000,247500,212500,210000,225000,6,16,-1.7,7.1
FOOTSCRAY,816000,883500,970000,810000,801100,17,69,-1.8,-1.1
